"_class",_id,balconySize,city,link,location,price,priceRatio,roomNr,size,street
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd0,20.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/27794624,"Angyalföld, XIII. kerület",320000.0,2782.608695652174,2 szoba,105.0,Angyalföld
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd1,0.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+pozsonyi+ut/30501184,"Pozsonyi út, XIII. kerület",290000.0,3258.4269662921347,2 szoba,89.0,Pozsonyi út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd2,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+orczy+ut+46-48/29118986,"Orczy út 46-48, VIII. kerület",120000.0,2727.2727272727275,2 szoba,44.0,Orczy út 46-48
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd3,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+orczy+ut+46-48/23515392,"Orczy út 46-48, VIII. kerület",110000.0,3235.294117647059,1 szoba,34.0,Orczy út 46-48
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd4,45.0,XVIII. kerület,https://ingatlan.com/xviii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+18+kerulet+margo+tivadar+utca+274/21143660,"Margó Tivadar utca 274, XVIII. kerület",250000.0,2439.0243902439024,2 szoba,80.0,Margó Tivadar utca 274
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd5,8.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+roppentyu+utca/30958204,"Röppentyű utca, XIII. kerület",130000.0,3333.3333333333335,1 szoba,35.0,Röppentyű utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd6,0.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+gubacsi+ut+19/22663508,"Gubacsi út 19, IX. kerület",105000.0,3500.0,1 szoba,30.0,Gubacsi út 19
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd7,2.0,XIV. kerület,https://ingatlan.com/xiv-ker/kiado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+ov+utca+133/30988852,"Öv utca 133, XIV. kerület",150000.0,5000.0,1 szoba,29.0,Öv utca 133
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd8,0.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+merleg+utca/29881955,"Mérleg utca, V. kerület",190000.0,3518.5185185185187,2 szoba,54.0,Mérleg utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6746fd9,0.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+gubacsi+ut+19/30852328,"Gubacsi út 19, IX. kerület",130000.0,2600.0,2 szoba,50.0,Gubacsi út 19
